MAC,ssid,lat,lon
00:00:EB:3F:83:67,wifine,,
00:00:EB:48:03:C7,wifine,,
00:00:EB:48:03:E7,wifine,,
00:00:EB:48:43:67,wifine,,
00:00:EB:48:83:87,wifine,,
00:00:EB:48:83:A7,wifine,,
00:00:EB:48:C3:27,wifine,,
00:00:EB:48:C3:87,wifine,,
00:00:EB:55:83:67,wifine,,
00:00:EB:55:C3:47,wifine,,
00:00:EB:55:C3:C7,wifine,,
00:00:EB:55:C3:E7,wifine,,
00:00:EB:56:03:27,wifine,,
00:00:EB:56:03:67,wifine,,
00:00:EB:56:03:E7,wifine,,
00:00:EB:56:43:67,wifine,,
00:00:EB:56:83:27,wifine,,
00:00:EB:56:83:E7,wifine,,
00:00:EB:56:C3:47,wifine,,
00:00:EB:57:03:27,wifine,,
00:00:EB:57:03:47,wifine,,
00:00:EB:57:03:E7,wifine,,
00:00:EB:57:43:47,wifine,,
00:00:EB:57:43:E7,wifine,,
00:00:EB:57:83:27,wifine,,
00:00:EB:57:83:C7,wifine,,
00:00:EB:57:C3:C7,wifine,,
00:00:EB:58:03:07,wifine,,
00:00:EB:58:03:87,wifine,,
00:00:EB:58:43:A7,wifine,,
00:00:EB:58:83:27,wifine,,
00:00:EB:58:C3:A7,wifine,,
00:00:EB:59:C3:E7,wifine,,
00:00:EB:59:C3:F7,wifine,,
00:00:EB:5A:43:E7,wifine,,
00:00:EB:5A:83:07,wifine,,
00:00:EB:5B:03:67,wifine,,
00:00:EB:5B:03:87,wifine,,
00:00:EB:5C:C3:A7,wifine,,
00:00:EB:5C:C3:C7,wifine,,
00:00:EB:5D:83:07,wifine,,
00:00:EB:5D:83:67,wifine,,
00:00:EB:5D:83:A7,wifine,,
00:00:EB:5E:C3:87,wifine,,
00:00:EB:5F:03:07,wifine,,
00:00:EB:5F:03:27,wifine,,
00:00:EB:61:43:07,wifine,,
00:00:EB:61:83:07,wifine,,
00:00:EB:61:83:27,wifine,,
00:00:EB:61:83:87,wifine,,
00:00:EB:63:83:87,wifine,,
00:00:EB:64:03:47,wifine,,
00:00:EB:64:43:67,wifine,,
00:00:EB:64:83:07,wifine,,
00:00:EB:64:83:47,wifine,,
00:00:EB:64:83:67,wifine,,
00:00:EB:64:83:C7,wifine,,
00:00:EB:64:83:D7,wifine,,
00:00:EB:64:83:E7,wifine,,
00:00:EB:64:C3:47,wifine,,
00:00:EB:64:C3:67,wifine,,
00:00:EB:64:C3:87,wifine,,
00:00:EB:64:C3:A7,wifine,,
00:00:EB:64:C3:C7,wifine,,
00:00:EB:64:C3:E7,wifine,,
00:00:EB:65:03:27,wifine,,
00:00:EB:65:03:67,wifine,,
00:00:EB:65:43:07,wifine,,
00:00:EB:65:43:47,wifine,,
00:00:EB:65:43:A7,wifine,,
00:00:EB:65:83:47,wifine,,
00:00:EB:65:C3:A7,wifine,,
00:00:EB:65:C3:E7,wifine,,
00:00:EB:66:03:A7,wifine,,
00:00:EB:66:83:27,wifine,,
00:00:EB:66:83:47,wifine,,
00:00:EB:66:83:E7,wifine,,
00:00:EB:66:C3:47,wifine,,
00:00:EB:67:03:67,wifine,,
00:00:EB:68:83:87,wifine,,
00:00:EB:77:03:07,wifine,,
00:00:EB:77:03:27,wifine,,
00:00:EB:77:03:A7,wifine,,
00:00:EB:77:43:27,wifine,,
00:00:EB:77:43:67,wifine,,
00:00:EB:77:83:A7,wifine,,
00:00:EB:77:83:C7,wifine,,
00:00:EB:77:83:E7,wifine,,
00:00:EB:77:C3:C7,wifine,,
00:00:EB:78:43:07,wifine,,
00:00:EB:78:43:67,wifine,,
00:00:EB:78:43:87,wifine,,
00:00:EB:78:83:A7,wifine,,
00:00:EB:78:83:E7,wifine,,
00:00:EB:78:C3:07,wifine,,
00:00:EB:78:C3:27,wifine,,
00:00:EB:78:C3:47,wifine,,
00:00:EB:78:C3:87,wifine,,
00:00:EB:78:C3:C7,wifine,,
00:00:EB:78:C3:E7,wifine,,
00:00:EB:7B:03:07,wifine,,
00:00:EB:7B:03:27,wifine,,
00:00:EB:7B:03:47,wifine,,
00:00:EB:7B:03:87,wifine,,
00:00:EB:7B:43:27,wifine,,
00:00:EB:7B:43:C7,wifine,,
00:00:EB:7B:43:E7,wifine,,
00:00:EB:7B:83:07,wifine,,
00:00:EB:7B:83:87,wifine,,
00:00:EB:7B:83:A7,wifine,,
00:00:EB:7B:83:C7,wifine,,
00:00:EB:7B:83:E7,wifine,,
00:00:EB:7B:C3:27,wifine,,
00:00:EB:7B:C3:87,wifine,,
00:00:EB:7B:C3:A7,wifine,,
00:00:EB:7B:C3:C7,wifine,,
00:00:EB:7B:C3:E7,wifine,,
00:00:EB:7C:03:07,wifine,,
00:00:EB:7C:03:27,wifine,,
00:00:EB:7C:03:67,wifine,,
00:00:EB:7C:03:E7,wifine,,
00:00:EB:7C:43:67,wifine,,
00:00:EB:7C:43:87,wifine,,
00:00:EB:7C:83:27,wifine,,
00:00:EB:7C:83:67,wifine,,
00:00:EB:7C:C3:27,wifine,,
00:00:EB:7C:C3:87,wifine,,
00:00:EB:7C:C3:A7,wifine,,
00:00:EB:7D:03:07,wifine,,
00:00:EB:7D:03:47,wifine,,
00:00:EB:7D:03:57,wifine,,
00:00:EB:7D:03:67,wifine,,
00:00:EB:7D:43:47,wifine,,
00:00:EB:7D:43:67,wifine,,
00:00:EB:7D:43:A7,wifine,,
00:00:EB:7D:83:47,wifine,,
00:00:EB:7D:83:E7,wifine,,
00:00:EB:7D:83:F7,wifine,,
00:00:EB:7D:C3:27,wifine,,
00:00:EB:7D:C3:47,wifine,,
00:00:EB:7D:C3:57,wifine,,
00:00:EB:7D:C3:67,wifine,,
00:00:EB:7E:03:07,wifine,,
00:00:EB:7E:03:17,wifine,,
00:00:EB:7E:03:27,wifine,,
00:00:EB:7E:03:E7,wifine,,
00:00:EB:7E:43:27,wifine,,
00:00:EB:7E:43:67,wifine,,
00:00:EB:7E:43:87,wifine,,
00:00:EB:7E:83:07,wifine,,
00:00:EB:7E:83:27,wifine,,
00:00:EB:7E:83:C7,wifine,,
00:00:EB:7E:C3:67,wifine,,
00:00:EB:7E:C3:C7,wifine,,
00:00:EB:7E:C3:E7,wifine,,
00:00:EB:7F:03:27,wifine,,
00:00:EB:7F:03:A7,wifine,,
00:00:EB:7F:83:67,wifine,,
00:00:EB:80:43:A7,wifine,,
00:00:EB:80:43:E7,wifine,,
00:00:EB:80:83:47,wifine,,
00:00:EB:80:83:67,wifine,,
00:00:EB:80:83:87,wifine,,
00:00:EB:80:83:C7,wifine,,
00:00:EB:80:83:D7,wifine,,
00:00:EB:80:C3:47,wifine,,
00:00:EB:84:83:A7,wifine,,
00:00:EB:85:43:27,wifine,,
00:00:EB:85:43:A7,wifine,,
00:00:EB:8B:03:A7,wifine,,
00:00:EB:8B:03:E7,wifine,,
00:00:EB:8B:43:27,wifine,,
00:00:EB:8B:83:A7,wifine,,
00:00:EB:8C:03:07,wifine,,
00:00:EB:8C:C3:07,wifine,,
00:00:EB:8C:C3:17,wifine,,
00:00:EB:8E:03:87,wifine,,
00:00:EB:8F:83:47,wifine,,
00:00:EB:8F:83:57,wifine,,
00:00:EB:8F:C3:47,wifine,,
00:00:EB:8F:C3:67,wifine,,
00:00:EB:8F:C3:77,wifine,,
00:00:EB:92:C3:E7,wifine,,
00:00:EB:93:43:47,wifine,,
00:00:EB:95:43:67,wifine,,
00:00:EB:95:C3:07,wifine,,
00:00:EB:96:03:E7,wifine,,
00:00:EB:98:43:E7,wifine,,
00:00:EB:98:C3:E7,wifine,,
00:00:EB:99:43:67,wifine,,
00:00:EB:99:C3:87,wifine,,
00:00:EB:9A:03:47,wifine,,
00:00:EB:9B:03:27,wifine,,
00:00:EB:9B:83:07,wifine,,
00:00:EB:9B:83:27,wifine,,
00:00:EB:9D:03:67,wifine,,
00:00:EB:9D:03:C7,wifine,,
00:00:EB:9D:43:07,wifine,,
00:00:EB:9D:43:47,wifine,,
00:00:EB:9D:83:A7,wifine,,
00:00:EB:9D:83:E7,wifine,,
00:00:EB:9E:03:67,wifine,,
00:00:EB:9F:03:27,wifine,,
00:00:EB:9F:03:87,wifine,,
00:00:EB:9F:83:07,wifine,,
00:00:EB:9F:83:27,wifine,,
00:00:EB:9F:C3:27,wifine,,
00:00:EB:9F:C3:87,wifine,,
00:00:EB:9F:C3:A7,wifine,,
00:00:EB:A0:03:07,wifine,,
00:00:EB:A0:03:A7,wifine,,
00:00:EB:A0:43:07,wifine,,
00:00:EB:A0:43:27,wifine,,
00:00:EB:A0:83:07,wifine,,
00:00:EB:A0:83:47,wifine,,
00:00:EB:A0:83:A7,wifine,,
00:00:EB:A0:83:E7,wifine,,
00:00:EB:A0:C3:07,wifine,,
00:00:EB:A0:C3:27,wifine,,
00:00:EB:A0:C3:C7,wifine,,
00:00:EB:A1:03:07,wifine,,
00:00:EB:A1:03:87,wifine,,
00:00:EB:A1:03:C7,wifine,,
00:00:EB:A1:03:E7,wifine,,
00:00:EB:A1:43:27,wifine,,
00:00:EB:A1:43:47,wifine,,
00:00:EB:A1:43:67,wifine,,
00:00:EB:A1:43:87,wifine,,
00:00:EB:A1:43:A7,wifine,,
00:00:EB:A1:43:C7,wifine,,
00:00:EB:A1:83:27,wifine,,
00:00:EB:A1:C3:07,wifine,,
00:00:EB:AE:83:E7,wifine,,
00:00:EB:AF:83:E7,wifine,,
00:00:EB:AF:C3:07,wifine,,
00:00:EB:AF:C3:27,wifine,,
00:00:EB:AF:C3:47,wifine,,
00:00:EB:B0:03:47,wifine,,
00:00:EB:B0:03:87,wifine,,
00:00:EB:B0:03:E7,wifine,,
00:00:EB:B0:83:27,wifine,,
00:00:EB:B0:83:37,wifine,,
00:00:EB:B4:03:07,wifine,,
00:00:EB:B4:03:27,wifine,,
00:00:EB:B4:43:27,wifine,,
00:00:EB:B4:43:67,wifine,,
00:00:EB:B4:43:A7,wifine,,
00:00:EB:B4:43:E7,wifine,,
00:00:EB:B4:83:07,wifine,,
00:00:EB:B4:83:C7,wifine,,
00:00:EB:B4:83:E7,wifine,,
00:00:EB:B4:C3:67,wifine,,
00:00:EB:B4:C3:C7,wifine,,
00:00:EB:B4:C3:E7,wifine,,
00:00:EB:B5:03:27,wifine,,
00:00:EB:B5:83:E7,wifine,,
00:00:EB:B5:C3:07,wifine,,
00:00:EB:B5:C3:27,wifine,,
00:00:EB:B5:C3:87,wifine,,
00:00:EB:B5:C3:A7,wifine,,
00:00:EB:B5:C3:C7,wifine,,
00:00:EB:B5:C3:E7,wifine,,
00:00:EB:B6:03:07,wifine,,
00:00:EB:B6:03:27,wifine,,
00:00:EB:B6:03:67,wifine,,
00:00:EB:B6:03:87,wifine,,
00:00:EB:B8:83:C7,wifine,,
00:00:EB:B8:C3:07,wifine,,
00:00:EB:B8:C3:87,wifine,,
00:00:EB:B8:C3:C7,wifine,,
00:00:EB:B9:03:07,wifine,,
00:00:EB:B9:03:27,wifine,,
00:00:EB:B9:03:C7,wifine,,
00:00:EB:B9:03:E7,wifine,,
00:00:EB:B9:43:07,wifine,,
00:00:EB:B9:43:17,wifine,,
00:00:EB:B9:43:47,wifine,,
00:00:EB:B9:43:57,wifine,,
00:00:EB:B9:43:A7,wifine,,
00:00:EB:B9:83:07,wifine,,
00:00:EB:B9:83:47,wifine,,
00:00:EB:B9:83:87,wifine,,
00:00:EB:B9:83:97,wifine,,
00:00:EB:B9:83:C7,wifine,,
00:00:EB:B9:83:E7,wifine,,
00:00:EB:B9:C3:07,wifine,,
00:00:EB:B9:C3:27,wifine,,
00:00:EB:B9:C3:47,wifine,,
00:00:EB:BA:03:67,wifine,,
00:00:EB:BA:03:87,wifine,,
00:00:EB:BA:03:C7,wifine,,
00:00:EB:BA:03:E7,wifine,,
00:00:EB:BA:43:67,wifine,,
00:00:EB:BA:43:A7,wifine,,
00:00:EB:BA:83:07,wifine,,
00:00:EB:BA:83:27,wifine,,
00:00:EB:BA:83:67,wifine,,
00:00:EB:BA:83:A7,wifine,,
00:00:EB:BA:83:C7,wifine,,
00:00:EB:BA:C3:07,wifine,,
00:00:EB:BA:C3:27,wifine,,
00:00:EB:BA:C3:47,wifine,,
00:00:EB:BA:C3:67,wifine,,
00:00:EB:BA:C3:A7,wifine,,
00:00:EB:BA:C3:C7,wifine,,
00:00:EB:BA:C3:E7,wifine,,
00:00:EB:BB:43:67,wifine,,
00:00:EB:BB:43:87,wifine,,
00:00:EB:BB:43:A7,wifine,,
00:00:EB:BB:83:07,wifine,,
00:00:EB:BB:83:47,wifine,,
00:00:EB:BB:83:A7,wifine,,
00:00:EB:BB:83:B7,wifine,,
00:00:EB:BB:83:E7,wifine,,
00:00:EB:BD:03:47,wifine,,
00:00:EB:BD:03:67,wifine,,
00:00:EB:BD:83:07,wifine,,
00:00:EB:BE:83:67,wifine,,
00:00:EB:BE:83:C7,wifine,,
00:00:EB:BE:83:D7,wifine,,
00:00:EB:BE:C3:87,wifine,,
00:00:EB:BE:C3:97,wifine,,
00:00:EB:C9:43:E7,wifine,,
00:00:EB:C9:C3:27,wifine,,
00:00:EB:CF:83:87,wifine,,
00:00:EB:D2:43:E7,wifine,,
00:00:EB:D3:03:E7,wifine,,
00:00:EB:D3:83:87,wifine,,
00:02:6F:D1:E0:7C,wifine,,
00:02:72:7D:96:0C,NZ@McD1,,
00:02:72:7D:96:0C,attwifi,,
00:03:52:A3:C2:EC,wifine,,
00:03:52:A3:CE:8C,wifine,,
00:03:52:A6:A7:7C,wifine,,
00:03:52:A6:B2:8C,wifine,,
00:03:52:A6:B5:6D,wifine,,
00:03:52:A6:B7:6B,wifine,,
00:03:52:A6:B7:6C,wifine,,
00:03:52:A7:89:6C,wifine,,
00:03:52:A7:9A:5D,wifine,,
00:03:52:A7:9C:EC,wifine,,
00:03:52:A7:9E:3C,wifine,,
00:03:52:A7:A0:7B,wifine,,
00:03:52:A7:A6:ED,wifine,,
00:03:52:A7:AA:1C,wifine,,
00:03:52:A7:B0:AC,wifine,,
00:03:52:A7:B8:8C,wifine,,
00:03:52:A7:BC:2C,wifine,,
00:03:52:A7:CA:EC,wifine,,
00:03:52:A7:D5:4C,wifine,,
00:03:52:A8:7C:52,wifine,,
00:03:52:A8:7C:5C,wifine,,
00:03:52:A8:96:02,wifine,,
00:03:52:A8:96:0C,wifine,,
00:03:52:A8:9C:54,wifine,,
00:03:52:A8:9C:5C,wifine,,
00:03:52:A8:CA:7C,wifine,,
00:03:52:A8:D9:EC,wifine,,
00:03:52:A9:04:32,wifine,,
00:03:52:A9:04:3C,wifine,,
00:03:52:A9:47:6C,wifine,,
00:03:52:A9:47:B2,wifine,,
00:03:52:A9:47:BC,wifine,,
00:03:52:A9:48:1C,wifine,,
00:03:52:A9:4B:AC,wifine,,
00:03:52:A9:54:B2,wifine,,
00:03:52:A9:54:BC,wifine,,
00:03:52:A9:55:12,wifine,,
00:03:52:A9:55:1C,wifine,,
00:03:52:A9:73:7D,wifine,,
00:03:52:A9:77:42,wifine,,
00:03:52:A9:77:4C,wifine,,
00:03:52:A9:7A:7C,wifine,,
00:03:52:AE:6C:6B,wifine,,
00:03:52:AE:6C:6C,wifine,,
00:03:52:AE:CD:5C,wifine,,
00:03:52:AF:F5:EC,wifine,,
00:03:52:AF:F6:BD,wifine,,
00:03:52:AF:FB:1C,wifine,,
00:03:52:AF:FB:3C,wifine,,
00:03:52:AF:FB:9C,wifine,,
00:03:52:AF:FB:DC,wifine,,
00:03:52:AF:FC:3C,wifine,,
00:03:52:AF:FC:B1,wifine,,
00:03:52:AF:FC:BC,wifine,,
00:03:52:AF:FD:CC,wifine,,
00:03:52:C0:02:DC,wifine,,
00:03:52:C0:06:21,wifine,,
00:03:52:C0:06:2C,wifine,,
00:03:52:C0:07:81,wifine,,
00:03:52:C0:07:8C,wifine,,
00:03:52:C0:0D:5C,wifine,,
00:03:52:C0:11:BC,wifine,,
00:03:52:C0:12:81,wifine,,
00:03:52:C0:12:8C,wifine,,
00:03:52:C0:15:0D,wifine,,
00:03:52:C0:16:62,wifine,,
00:03:52:C0:16:6C,wifine,,
00:03:52:C1:08:BC,wifine,,
00:03:52:C1:10:33,wifine,,
00:03:52:C1:10:3C,wifine,,
00:03:52:C1:11:2C,wifine,,
00:03:52:C1:1A:EC,wifine,,
00:03:52:C1:1D:2C,wifine,,
00:03:52:C1:25:7C,wifine,,
00:03:52:C1:26:DC,wifine,,
00:03:52:C1:2E:94,wifine,,
00:03:52:C1:2E:9C,wifine,,
00:03:52:C1:2F:0C,wifine,,
00:03:52:C1:30:ED,wifine,,
00:03:52:C1:31:B1,wifine,,
00:03:52:C1:31:BC,wifine,,
00:03:52:C1:31:D1,wifine,,
00:03:52:C1:31:DC,wifine,,
00:03:52:C1:32:BC,wifine,,
00:03:52:C1:3A:7D,wifine,,
00:03:52:C1:3D:8C,wifine,,
00:03:52:C1:41:9D,wifine,,
00:03:52:C1:45:4C,wifine,,
00:03:52:C1:45:92,wifine,,
00:03:52:C1:45:9C,wifine,,
00:03:52:C1:4A:EC,wifine,,
00:03:52:C1:4C:3D,wifine,,
00:03:52:C1:50:1C,wifine,,
00:03:52:C1:53:54,wifine,,
00:03:52:C1:53:5C,wifine,,
00:03:52:C1:57:0C,wifine,,
00:03:52:C1:57:5C,wifine,,
00:03:52:C1:57:C1,wifine,,
00:03:52:C1:57:CC,wifine,,
00:03:52:C1:58:F2,wifine,,
00:03:52:C1:58:FD,wifine,,
00:03:52:C1:5A:CC,wifine,,
00:03:52:C4:81:6C,wifine,,
00:03:52:C4:81:6D,wifine,,
00:03:52:C5:EC:3C,wifine,,
00:03:52:C5:EC:DC,wifine,,
00:03:52:C5:ED:AC,wifine,,
00:03:52:C5:EE:EC,wifine,,
00:03:52:C5:EF:FC,wifine,,
00:03:52:C5:F2:2D,wifine,,
00:03:52:C5:F2:3C,wifine,,
00:03:52:C5:F2:6E,wifine,,
00:03:52:C5:F2:BC,wifine,,
00:03:52:C5:F2:DC,wifine,,
00:03:52:C5:F2:EC,wifine,,
00:03:52:C5:F3:8C,wifine,,
00:03:52:C5:FB:0D,wifine,,
00:03:52:C5:FC:CC,wifine,,
00:03:52:C6:02:4C,wifine,,
00:03:52:C6:07:6C,wifine,,
00:03:52:C6:07:FC,wifine,,
00:03:52:C6:08:5D,wifine,,
00:03:52:C6:0D:92,wifine,,
00:03:52:C6:0D:9C,wifine,,
00:03:52:C6:11:E2,wifine,,
00:03:52:C6:11:EC,wifine,,
00:03:52:C6:12:2C,wifine,,
00:03:52:C6:14:C2,wifine,,
00:03:52:C6:14:CC,wifine,,
00:03:52:C6:1B:FC,wifine,,
00:03:52:C6:1C:9C,wifine,,
00:03:52:C6:1F:AC,wifine,,
00:03:52:C6:21:EC,wifine,,
00:03:52:C6:23:BC,wifine,,
00:03:52:C6:27:A1,wifine,,
00:03:52:C6:27:AC,wifine,,
00:03:52:C6:27:FC,wifine,,
00:03:52:C6:2C:7C,wifine,,
00:03:52:C6:2E:11,wifine,,
00:03:52:C6:2E:1D,wifine,,
00:03:52:C6:2F:A1,wifine,,
00:03:52:C6:2F:AD,wifine,,
00:03:52:C6:33:AD,wifine,,
00:03:52:C6:38:9C,wifine,,
00:03:52:C6:3A:5C,wifine,,
00:03:52:C6:43:AC,wifine,,
00:03:52:C6:45:7C,wifine,,
00:03:52:C6:49:A1,wifine,,
00:03:52:C6:49:AD,wifine,,
00:03:52:C6:4A:11,wifine,,
00:03:52:C6:4A:1D,wifine,,
00:03:52:C6:4B:5C,wifine,,
00:03:52:C6:4C:AC,wifine,,
00:03:52:C6:52:3C,wifine,,
00:03:52:C6:52:AC,wifine,,
00:03:52:C6:52:CC,wifine,,
00:03:52:C6:53:0C,wifine,,
00:03:52:C6:53:3C,wifine,,
00:03:52:C6:53:6E,wifine,,
00:03:52:C6:53:CC,wifine,,
00:03:52:C6:56:0C,wifine,,
00:03:52:C6:5A:3C,wifine,,
00:03:52:C6:5B:3C,wifine,,
00:03:52:C6:65:AD,wifine,,
00:03:52:C6:69:42,wifine,,
00:03:52:C6:69:4D,wifine,,
00:03:52:C6:6B:3D,wifine,,
00:03:52:C6:71:DC,wifine,,
00:03:52:C6:73:2C,wifine,,
00:03:52:C6:79:FC,wifine,,
00:03:52:C6:7A:91,wifine,,
00:03:52:C6:7A:9D,wifine,,
00:03:52:C6:7C:6D,wifine,,
00:03:52:C6:86:5C,wifine,,
00:03:52:C7:EE:63,wifine,,
00:03:52:C7:EE:6C,wifine,,
00:03:52:C7:F1:AC,wifine,,
00:03:52:C7:F2:8C,wifine,,
00:03:52:C7:F9:BC,wifine,,
00:03:52:D8:12:0C,wifine,,
00:03:52:D8:1C:63,wifine,,
00:03:52:D8:1C:6C,wifine,,
00:03:52:D8:1C:8C,wifine,,
00:03:52:D8:1D:7C,wifine,,
00:03:52:D8:22:7C,wifine,,
00:03:52:D8:24:65,wifine,,
00:03:52:D8:24:6D,wifine,,
00:03:52:D8:24:7C,wifine,,
00:03:52:D8:24:EC,wifine,,
00:03:52:D8:25:0C,wifine,,
00:03:52:D8:25:1C,wifine,,
00:03:52:D8:2C:D1,wifine,,
00:03:52:D8:2C:DC,wifine,,
00:03:52:D8:EE:12,wifine,,
00:03:52:D8:EE:1D,wifine,,
00:03:52:D8:EE:C1,wifine,,
00:03:52:D8:EE:CC,wifine,,
00:03:52:D8:EF:02,wifine,,
00:03:52:D8:EF:0D,wifine,,
00:03:52:D8:F0:1C,wifine,,
00:03:52:D8:F1:1C,wifine,,
00:03:52:D8:F2:0D,wifine,,
00:03:52:D8:F3:15,wifine,,
00:03:52:D8:F3:1D,wifine,,
00:03:52:D8:F7:32,wifine,,
00:03:52:D8:F7:3D,wifine,,
00:03:52:D8:F8:03,wifine,,
00:03:52:D8:F8:0C,wifine,,
00:03:52:D8:F8:9D,wifine,,
00:03:52:D8:F9:7C,wifine,,
00:03:52:D8:FC:9C,wifine,,
00:03:52:D8:FD:61,wifine,,
00:03:52:D8:FD:6C,wifine,,
00:03:52:D8:FE:9C,wifine,,
00:03:52:D9:04:8B,wifine,,
00:03:52:D9:0D:3C,wifine,,
00:03:52:DA:37:82,wifine,,
00:03:52:DA:37:8C,wifine,,
00:03:52:DA:37:C4,wifine,,
00:03:52:DA:37:CC,wifine,,
00:03:52:DA:38:E4,wifine,,
00:03:52:DA:38:EC,wifine,,
00:03:52:DB:D3:FE,wifine,,
00:03:52:DD:41:E4,wifine,,
00:03:52:DD:41:ED,wifine,,
00:03:52:E2:73:5C,wifine,,
00:03:52:E2:74:0C,wifine,,
00:03:52:E2:74:2C,wifine,,
00:03:52:E2:74:5C,wifine,,
